title,degree,school,location,price,duration,label
Interdisciplinary Computer Science,M.A.,Mills College,"Oakland, Tennessee, United States","1,093 EUR / credit",1 year,M.A. Full-time
Spatial Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Bridgewater State University,"Bridgewater, Massachusetts, United States",388 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Texas A&M University - Kingsville,"Kingsville, Texas, United States","22,500 EUR / year",2 years,M.Sc. Full-time
Speech Language Pathology,M.A.,Kent State University,"Kent, Ohio, United States","17,944 EUR / year",1 year,M.A. Full-time
Data Science,M.Sc.,New York University,"New York City, New York, United States","28,367 EUR / year",2 years,M.Sc. Full-time Part-time
Data Science,M.Sc.,University of Denver,"Denver, Colorado, United States","18,650 EUR / year",1 year,M.Sc. Full-time
Computation and Cognition,M.Eng.,Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts, United States",,5 years,M.Eng. Full-time
Financial Engineering,M.Sc.,University of Illinois at Urbana Champaign,"Urbana, Illinois, United States","37,927 EUR / year",1½ years,M.Sc. Full-time
Computer Information Systems,M.Sc.,Kean University,"Elizabeth, New Jersey, United States","16,932 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,Florida Polytechnic University,"Lakeland, Florida, United States",315 EUR / credit,1 year,M.Sc. Full-time
Communication Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time Online
Data Science,M.Sc.,New Jersey Institute of Technology,"Newark, New Jersey, United States","24,963 EUR / year",1 year,M.Sc. Full-time
Artificial Intelligence,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,University of Pittsburgh,"Pittsburgh, Pennsylvania, United States","38,266 EUR / year",2 years,M.Sc. Full-time
Data Analytics,Full-time,Utah State University,"Logan, Ohio, United States","12,544 EUR / year",1 year,Full-time
Business Analytics,Full-time,MIT Sloan School of Management,"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,Full-time
Statistical Data Science,M.Sc.,San Francisco State University,"San Francisco, California, United States","7,254 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,M.Sc. Full-time
Applied Mathematics - Data Analytics,M.Sc.,Manhattan College,"New York City, New York, United States",940 EUR / credit,1 year,M.Sc. Full-time
Electrical and Computer Engineering - Non-Thesis Option,M.Sc.,University of Miami,"Miami, Florida, United States","29,868 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Health Informatics,M.Sc.,University of San Francisco - School of Nursing and Health Professions,"San Francisco, California, United States","1,210 EUR / credit",1 year,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Michigan State University,"East Lansing, Michigan, United States","22,717 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Moravian College,"Bethlehem, Pennsylvania, United States","16,348 EUR / year",3 years,M.Sc. Full-time
Information Technology,M.Sc.,Sacred Heart University,"Fairfield, Connecticut, United States",772 EUR / credit,2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of South Florida,"Tampa, Florida, United States","12,967 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,M.Sc. Full-time
Applied Mathematics - Data Analytics,M.Sc.,Manhattan College,"New York City, New York, United States",940 EUR / credit,1 year,M.Sc. Full-time
Electrical and Computer Engineering - Non-Thesis Option,M.Sc.,University of Miami,"Miami, Florida, United States","29,868 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Health Informatics,M.Sc.,University of San Francisco - School of Nursing and Health Professions,"San Francisco, California, United States","1,210 EUR / credit",1 year,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Michigan State University,"East Lansing, Michigan, United States","22,717 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Moravian College,"Bethlehem, Pennsylvania, United States","16,348 EUR / year",3 years,M.Sc. Full-time
Information Technology,M.Sc.,Sacred Heart University,"Fairfield, Connecticut, United States",772 EUR / credit,2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of South Florida,"Tampa, Florida, United States","12,967 EUR / year",1 year,M.Sc. Full-time
